,user_id,session_id,views,carts,session_start
0,6579267347193727224,6579267347193727224-1483260076,4,1,2017-01-01 08:41:51.433000+00:00
1,6240940885748983114,6240940885748983114-1483262843,3,1,2017-01-01 09:30:26.567000+00:00
2,3126958855204188424,3126958855204188424-1483266899,1,1,2017-01-01 10:35:55.542000+00:00
3,5962650912828924546,5962650912828924546-1483267040,1,1,2017-01-01 10:39:42.532000+00:00
4,4358194291331382281,4358194291331382281-1483267020,1,1,2017-01-01 10:45:19.570000+00:00
5,5774089051886460129,5774089051886460129-1483268602,2,1,2017-01-01 11:04:23.419000+00:00
6,6462209632404414247,6462209632404414247-1483275742,6,4,2017-01-01 13:04:28.203000+00:00
7,781587236891421679,781587236891421679-1483276386,3,1,2017-01-01 13:13:11.565000+00:00
8,8591283602511935868,8591283602511935868-1483277793,3,2,2017-01-01 13:37:14.274000+00:00
9,1501529608219281729,1501529608219281729-1483278510,5,3,2017-01-01 13:52:45.219000+00:00
10,1617375440064517364,1617375440064517364-1483284708,33,5,2017-01-01 15:44:15.365000+00:00
11,1908460885897684999,1908460885897684999-1483287939,1,1,2017-01-01 16:27:48.429000+00:00
12,6417683443142965086,6417683443142965086-1483293451,12,4,2017-01-01 18:10:48.505000+00:00
13,2265703789548596461,2265703789548596461-1483295089,1,2,2017-01-01 18:25:09.912000+00:00
14,949358918664006925,949358918664006925-1483295454,8,2,2017-01-01 18:34:42.983000+00:00
15,2951257222752821978,2951257222752821978-1483295675,2,1,2017-01-01 18:36:08.509000+00:00
16,3096095342502660311,3096095342502660311-1483296778,1,1,2017-01-01 19:02:50.995000+00:00
17,8622379756157859322,8622379756157859322-1483297617,1,1,2017-01-01 19:09:04.111000+00:00
18,8022030993493658509,8022030993493658509-1483299157,20,1,2017-01-01 19:32:58.842000+00:00
19,891856926182569230,891856926182569230-1483300984,5,5,2017-01-01 20:10:56.382000+00:00
20,3413616438508336925,3413616438508336925-1483301550,3,1,2017-01-01 20:13:12.985000+00:00
21,5337554879565912647,5337554879565912647-1483301572,1,1,2017-01-01 20:13:30.783000+00:00
