,product_category,product_price,total_sessions,product_view_sessions,add_to_cart_sessions,purchase_sessions,view_to_cart_percentage,cart_to_purchase_percentage,view_to_purchase_percentage,avg_view_to_cart_sec,avg_cart_to_purchase_sec
0,${escCatTitle},790000,13,5,14,0,280.0,0.0,0.0,9.0,781.0
1,${escCatTitle},990000,187,86,178,0,206.98,0.0,0.0,-16.41,691.86
2,${escCatTitle},1000000,1,1,1,0,100.0,0.0,0.0,,
3,${escCatTitle},1200000,41,18,38,0,211.11,0.0,0.0,50.86,652.5
4,${escCatTitle},1250000,17,5,16,0,320.0,0.0,0.0,52.0,892.0
5,${escCatTitle},1500000,399,148,374,0,252.7,0.0,0.0,101.32,961.94
6,${escCatTitle},1590000,62,31,64,0,206.45,0.0,0.0,8.2,670.57
7,${escCatTitle},1990000,1130,595,1112,0,186.89,0.0,0.0,22.24,892.27
8,${escCatTitle},2000000,13,2,15,0,750.0,0.0,0.0,,
9,${escCatTitle},2390000,74,34,80,0,235.29,0.0,0.0,90.4,967.71
10,${escCatTitle},2400000,27,2,33,0,1650.0,0.0,0.0,2.0,216.0
11,${escCatTitle},2500000,83,25,86,0,344.0,0.0,0.0,6.0,507.33
12,${escCatTitle},2800000,140,99,269,0,271.72,0.0,0.0,7.04,536.5
13,${escCatTitle},2990000,892,324,1017,0,313.89,0.0,0.0,6.84,724.18
14,${escCatTitle},3190000,40,5,48,0,960.0,0.0,0.0,7.5,831.11
15,${escCatTitle},3500000,753,567,1078,0,190.12,0.0,0.0,30.07,714.58
16,${escCatTitle},3600000,12,12,10,0,83.33,0.0,0.0,8.5,
17,${escCatTitle},3990000,538,154,593,0,385.06,0.0,0.0,-54.95,772.45
18,${escCatTitle},4400000,7,0,7,0,,0.0,,,281.5
19,${escCatTitle},4500000,123,101,87,0,86.14,0.0,0.0,38.89,
20,${escCatTitle},4790000,42,12,41,0,341.67,0.0,0.0,47.4,546.13
21,${escCatTitle},4990000,536,316,488,0,154.43,0.0,0.0,4.17,756.61
22,${escCatTitle},5500000,100,79,72,0,91.14,0.0,0.0,46.0,757.67
23,${escCatTitle},5590000,36,8,35,0,437.5,0.0,0.0,21.0,803.5
24,${escCatTitle},5990000,228,69,218,0,315.94,0.0,0.0,62.85,784.79
25,${escCatTitle},6390000,6,4,5,0,125.0,0.0,0.0,,
26,${escCatTitle},6990000,408,287,298,0,103.83,0.0,0.0,30.45,1083.5
27,${escCatTitle},7190000,43,13,42,0,323.08,0.0,0.0,9.5,620.9
28,${escCatTitle},7990000,234,134,199,0,148.51,0.0,0.0,59.96,396.08
29,${escCatTitle},8790000,60,16,61,0,381.25,0.0,0.0,5.0,961.13
30,${escCatTitle},8990000,404,128,381,0,297.66,0.0,0.0,-150.67,852.66
31,${escCatTitle},9590000,18,11,16,0,145.45,0.0,0.0,3.67,
32,${escCatTitle},9990000,266,102,243,0,238.24,0.0,0.0,121.44,934.15
33,${escCatTitle},10390000,41,13,40,0,307.69,0.0,0.0,3.0,427.0
34,${escCatTitle},10990000,648,251,638,0,254.18,0.0,0.0,89.02,681.79
35,${escCatTitle},11190000,27,3,26,0,866.67,0.0,0.0,,907.5
36,${escCatTitle},11990000,144,60,125,0,208.33,0.0,0.0,14.2,654.5
37,${escCatTitle},12790000,32,2,32,0,1600.0,0.0,0.0,,710.75
38,${escCatTitle},12990000,378,122,360,0,295.08,0.0,0.0,38.58,735.56
39,${escCatTitle},13590000,190,39,283,0,725.64,0.0,0.0,-47.78,697.3
40,${escCatTitle},13990000,102,40,111,0,277.5,0.0,0.0,11.33,1053.9
41,${escCatTitle},14390000,4,0,5,0,,0.0,,,
42,${escCatTitle},14990000,181,74,149,0,201.35,0.0,0.0,106.89,820.36
43,${escCatTitle},15190000,248,37,394,0,1064.86,0.0,0.0,-2.14,877.21
44,${escCatTitle},15990000,293,45,430,0,955.56,0.0,0.0,183.93,741.38
45,${escCatTitle},16790000,22,14,41,0,292.86,0.0,0.0,30.4,1195.0
46,${escCatTitle},16990000,1862,1025,3011,0,293.76,0.0,0.0,39.85,940.09
47,${escCatTitle},17590000,107,13,137,0,1053.85,0.0,0.0,12.0,883.88
48,${escCatTitle},17990000,66,32,61,0,190.63,0.0,0.0,175.0,1677.0
49,${escCatTitle},18390000,18,5,17,0,340.0,0.0,0.0,305.0,547.5
